key,valor
site_name,Flutter Multi Restaurant
setting_label,Configuração
lbl_search_shop,pesquisa Loja
status_label,transações Estado
trans_detail,Detalhes da transação
shops_unpublish_list_label,Lista de Loja inédito
btn_create_new_shop,Criar Nova Loja
btn_shop_list,Lista de Loja Unpublish
btn_push_notification,push Notification
btn_system_user,Usuário do sistema
btn_export_database,Banco de Dados de exportação
btn_about_app,Sobre App
address_label,Endereço
lbl_about_shop,Sobre Loja
lbl_categories,categorias
user_email,O email
user_password,Senha
sign_in,Assinar em
total_users_count_label,Total de usuários
total_cat_count_label,Total de Categorias
total_wallpaper_count_label,Total de papéis de parede
total_contact_label,Total de Mensagens de Contato
btn_search,Procurar
back_shop_list,Lista Shop Voltar
err_image_missing,Nenhum arquivo é carregado
about_info,Sobre Informação
allowed_modules,Módulo permitido
shop_name,Nome da loja
add_more_color,Adicionar mais cor
color_code,Cor produto
product_title,Título
product_desc,Descrição
add_more_spec,Adicionar mais Specification
prd_specification,Especificação do produto
product_name_count,Conde Nome do produto
select_multiple_images,Por favor seleccione várias imagens do produto.
noti_add,Adicionar Notis
prd_unit,Unidade produto
prd_measurement,Medição do produto
noti_search,pesquisa Noti
error_login,"Suas credenciais de login estão incorretas. Por favor, tente novamente."
profile_img,Imagem de perfil
cat_add,Adicionar categorias
wrn_no_data,Não há dados ainda
cat_name,Nome da Categoria
cat_img,categoria Foto
cat_info,categoria Informação
cat_ordering,Encomenda
cat_edit,Editar Categoria
success_cat_add,Categoria foi adicionada com sucesso
success_cat_edit,Categoria foi atualizada com sucesso
success_upload,A imagem foi atualizado com sucesso
delete_cat_label,Categoria de exclusão?
cat_yes_all_message,"Ao apagar esta categoria, ele irá apagar todas as categorias sub relacionados e produtos também. Então, você ainda deseja apagá-lo?"
success_cat_delete,Categoria foi excluído com sucesso
cat_search,pesquisa Categoria:
cat_icon,Ícone da categoria
btn_replace_icon,substituir Ícone
upload_icon,Carregar Ícone
about_upload_icon,Carregar Ícone
fav_upload_icon,Fav Ícone
sidebar_upload_icon,Logo Sidebar
btn_upload,Envio
err_cat_name,"Por favor, forneça nome da categoria"
err_cat_len,O comprimento do nome da categoria deve ser maior que 4
err_cat_exist,Nome da categoria já está existia no sistema
subcat_info,Sub Categoria Informação
subcat_name,Sub Categoria Nome
subcat_ordering,Sub Categoria Order
subcat_img,Categoria Sub Foto
subcat_icon,Sub Categoria Ícone
subcat_search,Pesquisar Sub Categoria
subcat_add,Adicionar Sub Categoria
subcat_edit,Editar Sub Categoria
success_subcat_edit,Sub categoria foi atualizada com sucesso
success_subcat_add,Sub Categoria foi adicionada com sucesso
success_subcat_delete,Sub Categoria foi excluído com sucesso
err_subcat_name,"Por favor, forneça sub nome da categoria"
err_subcat_len,O comprimento do Sub Categoria Nome deve ser maior que 4
err_subcat_exist,Sub Categoria Nome já está existia no sistema
delete_subcat_label,Excluir Sub Categoria?
subcat_delete_confirm_message,Tem certeza de que deseja excluir esta subcategoria?
subcat_yes_all_message,"Ao eliminar este sub-categoria, ele irá apagar todos os produtos relacionados também. Então, você ainda deseja apagá-lo?"
subcat_no_only_message,<B> Apenas Sub Categoria </ b> - Só Sub Categoria excluirá a partir do sistema.
subcat_yes_all_label,Sim Todos
subcat_no_only_label,Apenas Sub Categoria
select_subcat,Select Sub Categoria
select_cat,Selecione a Categoria
subcat_panel_title,Sub lista de categorias
Prd_search_cat,Escolha um nome de categoria
btn_reset,Redefinir
btn_yes,sim
upload_photo,upload de fotos
upload_button,Envio
replace_photo_button,Substituir Foto da capa
photo_desc_label,foto Descrição
del_cover_photo,Excluir Foto da capa
del_cover_photo_confirm,Tem certeza de que deseja apagar a foto?
del_icon_label,Ícone Excluir
del_icon_confirm,Tem certeza de que deseja excluir o ícone?
status,Status (É Publicar?)
dis_name,Nome de desconto
dis_add,add Descontos
dis_percent,Percentagem de desconto (%)
choose_prd_label,Escolha os produtos
dis_info,Informações desconto
dis_photo,Discount Foto
prd_name,Nome do Produto
prd_code,Código
product_price,Preço ($)
dis_add,add Descontos
success_dis_add,Descontos foi adicionada com sucesso
success_dis_edit,Descontos foi atualizado com sucesso
delete_dis_label,Descontos apagar?
dis_delete_confirm_message,Tem certeza que deseja excluir este Descontos?
dis_edit,Editar Descontos
err_dis_name,Forneça o nome de desconto
err_dis_percent,"Por favor, forneça Discount Percent"
err_dis_len,O comprimento de Nome de desconto deve ser maior do que 4
err_dis_exist,Discount nome já está existia no sistema
success_dis_delete,Descontos foi excluído com sucesso
discount_photo,Discount Foto
dis_search,pesquisa Discount
feed_add,Adicionar novos feeds
feed_info,Novos feeds Informations
feed_name,Nome de alimentação
feed_desc,alimentação Descrição
feed_edit,Editar Feeds
success_feed_add,Novas Feeds foi adicionada com sucesso
success_feed_edit,Novas Feeds foi atualizado com sucesso
err_dup_name,Nome já está existia no sistema
err_feed_exist,Alimentação nome já está existia no sistema
delete_feed_label,Excluir New Feeds?
feed_delete_confirm_message,Tem certeza que deseja deletar isto Novo Feeds?
success_feed_delete,Novas Feeds foi excluído com sucesso
f_item_cat_required,Selecione a categoria Nome
err_feed_len,O comprimento de alimentação Nome deve ser maior do que 4
err_feed_name,Forneça o nome de alimentação
feed_search,feed de pesquisa
feed_gallery,Galeria de alimentação
list_product_nav,produtos
prd_add,Adicionar Alimentos
att_add,Adicionar novo personalizado cabeçalho
add_att_detail,Adicionar Detalhe Novo personalizado
list_attribute_header,Personalizado Lista Header
wrn_no_data,Não há dados ainda
product_name,Nome do Produto
att_name,Personalizado Nome de cabeçalho
Prd_search_subcat,Select Sub Categoria Nome
Prd_search_dis,Selecionar tipo de desconto
product_gallery,Galeria de produtos
prd_info,informação do produto
rec_prd_info,Produtos Recentemente Adicionado
att_info,Informações personalizado
prd_desc,Descrição do Produto
prd_high_info,Informações Destaque do produto
prd_edit,Editar produto
prd_code,Código do produto
success_prd_add,Produto foi adicionado com sucesso
success_prd_edit,O produto tem sido atualizado com sucesso
success_upload,A imagem foi atualizado com sucesso
delete_prd_label,Excluir do produto?
prd_yes_all_message,"Ao eliminar este produto, ele irá apagar todas as categorias sub relacionados e categoria também. Então, você ainda deseja apagá-lo?"
success_prd_delete,O produto tem sido excluído com sucesso
prd_search,pesquisa de produto
btn_save_prd_att,Atributo Save & Ir para o Produto
btn_att_list,Save & Go To Food personalizado
btn_save_gallery,Lista personalizado
unit_price,Preço unitário
search_tag,Pesquisa Tag / Keyword
f_item_subcat_required,Selecione Sub Categoria Nome
f_item_discount_required,Selecione a categoria Nome
err_Prd_name,"Por favor, forneça o nome do produto"
err_Prd_len,O comprimento do nome do produto deve ser maior que 4
err_Prd_exist,Nome do produto já está existia no sistema
is_discount,É Discount?
is_featured,É destaque?
is_available,Está disponível?
order_by,Ordenar por
select_order,Select Order
from_price,De Preço
to_price,para Preço
shipping_cost,Frete
minimum_order,Ordem mínima
original_price,Preço original
err_access,"Desculpe, você não tem acesso a tomar esta ação"
err_model,erro de banco de dados ocorreu
err_sys,erro de sistema ocorreu
btn_edit,Editar
btn_update,Atualizar
btn_delete,Excluir
btn_publish,Publicar
no,Não
btn_save,Salve 
btn_cancel,Cancelar
btn_replace_photo,Substitua a foto
Remove,Retirar
success_img_delete,A imagem foi excluído com sucesso
trans_date_label,Encontro
success_user_add,Usuário do Sistema foi adicionado com sucesso
success_user_edit,Usuário do Sistema foi atualizado com sucesso
need_to_verify,"Sua necessidade de e-mail para verificar com o código de verificação. Por favor, dê uma olhada seu e-mail cadastrado."
count_detail,Condes de Detalhe
add_att_detail,Adicionar Detalhe personalizado
detail_label,Detalhe
att_edit,Editar personalizado
success_att_add,Personalizado foi adicionado com sucesso
success_att_edit,Personalizado foi atualizado com sucesso
delete_att_label,Excluir personalizado?
att_yes_all_message,"Ao eliminar este cabeçalho personalizado, ele irá apagar todos os detalhes personalizados relacionados também. Então, você ainda deseja apagá-lo?"
success_att_delete,Personalizado foi excluído com sucesso
att_delete_confirm_message,Você quer excluir todos os itens em que personalizadas juntos?
att_search,pesquisa personalizada
att_detail_search,Pesquisar Detalhe personalizado
att_price,Preço personalizado
list_attribute_detail,Lista Detalhe personalizado
selected_product_name,Selecionado Nome do produto
selected_attribute_header,Selecionado personalizado Nome de cabeçalho
att_detail_name,Personalizado Nome Detalhe
attribute_detail_extra_price,"(Se a sua carga preço adicional personalizado, forneça apenas o preço adicional Ele vai adicionar ao preço do alimento como automatically.It não substituir o preço do item Basta adicionar como preço adicional eg;... Price_total = Food_price + customized_additional_pirce)"
success_attdetail_edit,Detalhe personalizado foi atualizado com sucesso
success_attdetail_add,Detalhe personalizado foi adicionado com sucesso
attdetail_edit,Atualização personalizado Detalhe Informação
success_attdetail_delete,Detalhe personalizado foi excluído com sucesso
att_no_only_message,Apenas personalizado - único detalhe personalizado irá apagar a partir do sistema.
delete_attdetail_label,Excluir Detalhe personalizado?
err_att_name,Forneça o nome personalizado
err_att_len,O comprimento de Nome personalizado deve ser maior do que 4
err_att_exist,Personalizado nome já está existia no sistema
att_detail_info,Informações detalhadas personalizado
err_detail_name,Forneça o nome Detalhe Atributo
err_detail_len,O comprimento do Atributo Detalhe Nome deve ser maior que 4
err_detail_exist,Atributo Detalhe nome já está existia no sistema
collect_search,Procurar
collect_photo,coleção de fotografia
collect_name,Nome da colecção
collect_status,coleção Estado
collect_info,recolha de Informação
collect_ordering,Order coleção
collect_img,coleção de fotografia
collect_search,pesquisa Colecção
collect_add,Adicionar Colecção
collect_edit,Editar coleção
success_collect_edit,Coleção foi atualizada com sucesso
success_collect_add,Coleção foi adicionada com sucesso
success_collect_delete,Coleção foi excluído com sucesso
err_collect_name,"Por favor, informe o nome da coleção"
err_collect_len,O comprimento do nome de Coleção deve ser maior do que 4
err_collect_exist,Nome da coleção já está existia no sistema
delete_collect_label,Excluir Collection?
collect_delete_confirm_message,Tem certeza que deseja deletar essa coleção?
collect_yes_all_message,Sim All - Recolha e Itens excluirá a partir do sistema.
collect_no_only_message,Apenas Collection - Só Coleção excluirá a partir do sistema.
collect_yes_all_label,Sim Todos
collect_no_only_label,Apenas Colecção
please_select_product,"Por favor, selecione produtos"
api_info,Ajuste Api
api_order_by,Ordenar por
api_count,Conde Api
success_api_edit,Api configuração foi atualizado com sucesso
comm_user,Comercial
comm_desc,comentário Descrição
comm_date,Encontro
write_reply,Escrever um comentário resposta
btn_reply,Resposta
reply_cmt,comentar Responder
comm_search,Procurar
comment_header,Comentários
date,Encontro
reply,Resposta
like_product_name,Nome do Produto
like_user_name,Nome do usuário
fav_product_name,Nome do Produto
fav_user_name,Nome do usuário
trans_total_amount,Valor total
trans_discount_amount,desconto de Quantidade
trans_balance_amount,Valor do saldo
trans_billing_address,endereço de cobrança
trans_delivery_address,Endereço de entrega
btn_update,Atualizar
trans_search,Pesquisa Transações
btn_update,Atualizar
Prd_qty,Qtde
Prd_dis,Desconto(%)
Prd_amt,Montante
Prd_dis_price,Preço com desconto
trans_status,Transações Status:
success_trans_edit,Transações Estado foi atualizado com sucesso
Prd_name,Nome do Produto
Prd_price,Preço do produto
popular_cat_name,Popular Nome da Categoria
popular_cat_img,Categoria Popular Foto
view,Visão
popular_cat_search,Pesquisar Categoria Popular
popular_cat_view,Categoria mais popular
popular_cat_info,Categoria Informação Popular
popular_cat_icon,Popular Categoria Ícone
popular_prd_name,Popular Nome do produto
popular_prd_code,Popular Product Code
popular_prd_price,Popular Preço do produto
popular_prd_search,Pesquisar Popular Produtos
popular_prd_view,Mais Popular do produto
popular_prd_info,Popular Informações sobre o Produto
popular_subcat_name,Popular Sub Categoria Nome
popular_prd_desc,Descrição Popular Produtos
popular_prd_keyword,Populares Produto Palavras-chave
popular_prd_highlight,Destaque Popular Produtos
purchased_cat_name,Comprado Nome da Categoria
purchased_cat_img,Categoria comprada Foto
purchased_cat_view,A maioria Categoria Comprada
purchased_cat_info,Compra Categoria Informação
purchased_cat_icon,Compra Categoria Ícone
purchased_cat_search,Pesquisar Categoria Comprada
purchased_prd_name,Comprado Nome do produto
purchased_prd_code,Comprado Product Code
purchased_prd_price,Comprado Preço do produto
purchased_prd_view,Mais comprado produtos
purchased_prd_search,Pesquisar comprou um produto
purchased_subcat_name,Comprado Sub Categoria Nome
purchased_prd_desc,Descrição do produto comprado
purchased_prd_keyword,Comprou um produto Palavras-chave
purchased_prd_info,Compra Informações sobre o produto
purchased_prd_highlight,Destaque do produto comprado
total_revenue,Transações mensais
performance_label,Estatisticas
comment_label,Comente
prd_label,Contagem produtos
cat_label,categorias Contagem
subcat_label,Conde subcategoria
dis_label,Desconto
collect_label,Coleção
view_all_label,Ver tudo
transaction_table,Tabela transação
name_label,Nome
description_label,Descrição
phone_label,Telefone 1 (Padrão)
contact_email_label,email de contato
shop_cover_photo_label,Loja Tampa Photo Upload
shop_image_recommended_size,(Tamanho recomendado: 600 × 400)
find_location_label,Digite & Find localização do Google API
shop_lat_label,Latitude
shop_lng_label,Longitude
success_shop_add,Shop foi adicionado com sucesso
success_shop_edit,Shop foi atualizado com sucesso
delete_shop_label,Excluir Shop?
shop_info,Informações loja
delete_shop_confirm_message,"Tem certeza de que deseja excluir a loja, porque ele vai excluir?"
phone_label2,telefone 2
phone_label3,telefone 3
address_label1,Endereço 1
address_label2,Endereço 2
address_label3,endereço 3
shop_icon_photo_label,Loja Ícone Photo Upload
shop_image_recommended_size_icon,(Tamanho recomendado: 256 × 256)
about_mess_label,Mensageiro
about_chart_section,Informações bate-papo
stripe_label,[Opção 1]: Pagamento com listra
stripe_publishable_key,Chave publicável
stripe_secret_key,Chave secreta
stripe_enable_label,Está ativado Stripe pagamento?
stripe_enable_label,Está ativado Stripe pagamento?
paypal_label,[Opção 2]: Pagamento com Paypal Ativado
paypal_env_label,Paypal Ambiente
paypal_merchant_label,Paypal Merchant ID
paypal_pub_label,Paypal Chave Pública
paypal_pri_label,Paypal Chave Privada
paypal_enabled_label,Paypal está ativado?
bank_transfer_label,[Opção 3]: O pagamento por transferência bancária
