key,القيمة
site_name,Flutter Multi Restaurant
setting_label,ضبط
lbl_search_shop,البحث متجر
status_label,المعاملات الحالة
trans_detail,عملية التفاصيل
shops_unpublish_list_label,لم تنشر قائمة للتسوق
btn_create_new_shop,إنشاء متجر جديد
btn_shop_list,إلغاء النشر قائمة للتسوق
btn_push_notification,إعلام دفع
btn_system_user,نظام العضو
btn_export_database,تصدير قاعدة البيانات
btn_about_app,حول التطبيقات
address_label,عنوان
lbl_about_shop,معلومات عن متجر
lbl_categories,التصنيفات
user_email,البريد الإلكتروني
user_password,كلمه السر
sign_in,تسجيل الدخول
total_users_count_label,إجمالي المستخدمين
total_cat_count_label,إجمالي الفئات
total_wallpaper_count_label,مجموع خلفيات
total_contact_label,إجمالي رسائل الاتصال
btn_search,بحث
back_shop_list,العودة قائمة للتسوق
err_image_missing,يتم تحميل أي ملف
about_info,معلومات عن
allowed_modules,وحدة سمح
shop_name,اسم المحل
add_more_color,إضافة المزيد من الألوان
color_code,لون المنتج
product_title,عنوان
product_desc,وصف
add_more_spec,إضافة المزيد من المواصفات
prd_specification,مواصفات الغذاء
product_name_count,عدد اسم المنتج
select_multiple_images,يرجى تحديد عدة صور المنتج.
noti_add,إضافة Notis
prd_unit,وحدة المنتج
prd_measurement,قياس المنتج
noti_search,البحث نوتي
error_login,بيانات اعتماد تسجيل الدخول الخاصة بك خاطئة. حاول مرة اخرى.
profile_img,صورة البروفيل
cat_add,إضافة فئات
wrn_no_data,لا توجد بيانات حتى الآن
cat_name,اسم التصنيف
cat_img,فئة صور
cat_info,معلومات الفئة
cat_ordering,تنظيم
cat_edit,تحرير الفئة
success_cat_add,تمت إضافة فئة بنجاح
success_cat_edit,تم تحديث فئة بنجاح
success_upload,تم تحديث الصورة بنجاح
delete_cat_label,حذف الفئة؟
cat_yes_all_message,عندما حذف هذه الفئة، فإنه سيتم حذف كل الفئات الفرعية والمنتجات ذات الصلة أيضا. لذا، هل لا تزال ترغب في حذفه؟
success_cat_delete,لقد تم حذف الفئة بنجاح
cat_search,البحث التصنيف
cat_icon,فئة أيقونة
btn_replace_icon,استبدال أيقونة
upload_icon,تحميل أيقونة
about_upload_icon,تحميل أيقونة
fav_upload_icon,الصوت العربي الحر أيقونة
sidebar_upload_icon,الشريط الجانبي الشعار
btn_upload,رفع
err_cat_name,يرجى تقديم اسم الفئة
err_cat_len,يجب أن يكون طول اسم التصنيف أكبر من 4
