key,valeur
site_name,Flutter Multi Restaurant
setting_label,Réglage
lbl_search_shop,Recherche Boutique
status_label,transactions Statut
trans_detail,Détail de la transaction
shops_unpublish_list_label,Liste non publiées Boutique
btn_create_new_shop,Créer un nouveau boutique
btn_shop_list,Liste Dépublier Boutique
btn_push_notification,Notification push
btn_system_user,utilisateur système
btn_export_database,Base de données d'exportation
btn_about_app,À propos App
address_label,Adresse
lbl_about_shop,À propos de Boutique
lbl_categories,Catégories
user_email,Email
user_password,Mot de passe
sign_in,Se connecter
total_users_count_label,Nombre total d'utilisateurs
total_cat_count_label,Catégories totales
total_wallpaper_count_label,Fonds d'écran totaux
total_contact_label,Nombre total de messages de contact
btn_search,Chercher
back_shop_list,Retour Boutique Liste
err_image_missing,Aucun fichier téléchargé
about_info,A propos de l'information
allowed_modules,Module permis
shop_name,Nom de la boutique
add_more_color,Ajouter plus de couleur
color_code,Couleur produit
product_title,Titre
product_desc,La description
add_more_spec,Ajouter Plus Spécification
prd_specification,Spécification de produit
product_name_count,Nombre Nom du produit
select_multiple_images,S'il vous plaît sélectionner plusieurs images du produit.
noti_add,Ajouter Notis
prd_unit,Unité produit
prd_measurement,mesure du produit
noti_search,Recherche Noti
error_login,Vos informations de connexion sont erronées. Veuillez réessayer.
profile_img,Photo de profil
cat_add,Ajouter des catégories
wrn_no_data,Il n'y a pas encore de données
cat_name,Nom de catégorie
cat_img,catégorie photo
cat_info,Informations Catégorie
cat_ordering,commande
cat_edit,Modifier la catégorie
success_cat_add,Catégorie a été ajouté avec succès
success_cat_edit,Catégorie a été mis à jour avec succès
success_upload,L'image a été mis à jour avec succès
delete_cat_label,Supprimer la catégorie?
cat_yes_all_message,"Lorsque supprimer cette catégorie, il supprimera toutes les sous-catégories connexes et produits également. Alors, voulez-vous toujours de le supprimer?"
success_cat_delete,Catégorie a été supprimé
cat_search,Rechercher Catégorie
cat_icon,Icône de catégorie
btn_replace_icon,remplacer Icône
upload_icon,Télécharger Icône
about_upload_icon,Télécharger Icône
fav_upload_icon,Icône fav
sidebar_upload_icon,Logo barre latérale
btn_upload,Télécharger
err_cat_name,S'il vous plaît fournir le nom de la catégorie
err_cat_len,La longueur de la catégorie Le nom doit être supérieure à 4
err_cat_exist,Nom de la catégorie est déjà existé dans le système
subcat_info,Informations Sous Catégorie
subcat_name,Nom Sous Catégorie
subcat_ordering,Ordre Sous Catégorie
subcat_img,Photo Sous Catégorie
subcat_icon,Sous-catégorie Icône
subcat_search,Recherche Sous catégorie
subcat_add,Ajouter Sous catégorie
subcat_edit,Modifier Sous catégorie
success_subcat_edit,Sous-catégorie a été mis à jour avec succès
success_subcat_add,Sous-catégorie a été ajouté avec succès
success_subcat_delete,Sous-catégorie a été supprimé
err_subcat_name,S'il vous plaît fournir le nom sous catégorie
err_subcat_len,La longueur de la Sous-catégorie Nom doit être supérieure à 4
err_subcat_exist,Nom Sous catégorie est déjà existé dans le système
delete_subcat_label,Supprimer Sous catégorie?
subcat_delete_confirm_message,Voulez-vous vraiment supprimer cette sous-catégorie?
subcat_yes_all_message,"Lorsque supprimer cette sous catégorie, il supprimera tous les produits également. Alors, voulez-vous toujours de le supprimer?"
subcat_no_only_message,<B> Sous catégorie uniquement </ b> - Seul Sous catégorie supprimera du système.
subcat_yes_all_label,Oui tout
subcat_no_only_label,Seulement Sous catégorie
select_subcat,Sélectionnez Sous catégorie
select_cat,Choisir une catégorie
subcat_panel_title,Liste Sous-catégorie
Prd_search_cat,Sélectionnez Nom de la catégorie
btn_reset,Réinitialiser
btn_yes,Oui
upload_photo,Envoyer la photo
upload_button,Télécharger
replace_photo_button,Remplacer Photo de couverture
photo_desc_label,description photo
del_cover_photo,Supprimer Photo de couverture
del_cover_photo_confirm,Etes-vous sûr de vouloir supprimer la photo?
del_icon_label,Supprimer l'icône
del_icon_confirm,Etes-vous sûr de vouloir supprimer l'icône?
status,Statut (Is Publier?)
dis_name,Nom Discount
dis_add,Ajouter des Réductions
dis_percent,Pour cent de réduction (en%)
choose_prd_label,Choisissez nourriture
dis_info,Informations Discount
dis_photo,Remise photo
prd_name,Nom du produit
prd_code,Code
product_price,Prix($)
dis_add,Ajouter des Réductions
success_dis_add,Réductions a été ajouté avec succès
success_dis_edit,Réductions a été mis à jour avec succès
delete_dis_label,Réductions Supprimer?
dis_delete_confirm_message,Etes-vous sûr de supprimer ce rabais?
dis_edit,Réductions Modifier
err_dis_name,S'il vous plaît fournir le nom Discount
err_dis_percent,S'il vous plaît fournir pour cent de réduction
err_dis_len,La longueur du nom Discount doit être supérieure à 4
err_dis_exist,Nom escompte est déjà existé dans le système
success_dis_delete,Réductions a été supprimé avec succès
discount_photo,Remise photo
dis_search,Recherche Remise
feed_add,Ajouter de nouveaux flux
feed_info,Informations de nouveaux flux
feed_name,Nom du fil
feed_desc,description de l'alimentation
feed_edit,Modifier les aliments du bétail
success_feed_add,De nouveaux flux a été ajouté avec succès
success_feed_edit,Les nouveaux aliments du bétail a été mis à jour avec succès
err_dup_name,Le nom est déjà existé dans le système
err_feed_exist,Nom d'alimentation est déjà existé dans le système
delete_feed_label,Supprimer de nouveaux flux?
feed_delete_confirm_message,Etes-vous sûr de supprimer cette nouvelles RSS?
success_feed_delete,Nouveaux flux a été supprimé avec succès
f_item_cat_required,S'il vous plaît Choisir Nom de la catégorie
err_feed_len,La longueur du fourrage Le nom doit être supérieur à 4
err_feed_name,S'il vous plaît fournir le nom d'alimentation
feed_search,feed Recherche
feed_gallery,Galerie d'alimentation
list_product_nav,Produit
prd_add,Ajouter de la nourriture
att_add,Ajouter un nouvel en-tête personnalisé
add_att_detail,Ajouter un nouveau détail personnalisé
list_attribute_header,En-tête personnalisé Liste
wrn_no_data,Il n'y a pas encore de données
product_name,Nom du produit
att_name,En-tête personnalisé Nom
Prd_search_subcat,Sélectionnez Sous Nom de la catégorie
Prd_search_dis,Sélectionner le type Discount
product_gallery,Galerie de produits
prd_info,Information produit
rec_prd_info,Produits récemment ajoutés
att_info,Informations sur mesure
prd_desc,Description du produit
prd_high_info,Informations Faits saillants du produit
prd_edit,Modifier le produit
prd_code,Code produit
success_prd_add,Le produit a été ajouté avec succès
success_prd_edit,Le produit a été mis à jour avec succès
success_upload,L'image a été mis à jour avec succès
delete_prd_label,Supprimer produit?
prd_yes_all_message,"Lorsque supprimer ce produit, il supprimera également toutes les sous-catégories connexes et catégorie. Alors, voulez-vous toujours de le supprimer?"
success_prd_delete,Le produit a été supprimé avec succès
prd_search,Recherche de produits
btn_save_prd_att,Économisez et allez à la nourriture personnalisée
btn_att_list,Liste personnalisée
btn_save_gallery,Ajouter Détail personnalisé
unit_price,Prix ​​unitaire
search_tag,Recherche Tag / mots-clés
f_item_subcat_required,S'il vous plaît Sélectionner Nom Sous Catégorie
f_item_discount_required,S'il vous plaît Choisir Nom de la catégorie
err_Prd_name,S'il vous plaît fournir le nom du produit
err_Prd_len,La longueur du nom du produit doit être supérieur à 4
err_Prd_exist,Nom du produit est déjà existé dans le système
is_discount,Discount est?
is_featured,Est en vedette?
is_available,Est disponible?
order_by,Commandé par
select_order,Sélectionnez votre commande
from_price,de Prix
to_price,À prix
shipping_cost,Frais de port
minimum_order,Commande minimum
original_price,Prix ​​d'origine
err_access,"Désolé, vous n'avez pas accès à prendre cette mesure"
err_model,erreur de base de données est survenue
err_sys,Erreur système est survenue
btn_edit,Éditer
btn_update,Mise à jour
btn_delete,Supprimer
btn_publish,Publier
no,Non
btn_save,sauvegarder
btn_cancel,Annuler
btn_replace_photo,remplacer photo
Remove,Retirer
success_img_delete,L'image a été supprimé
trans_date_label,Date
success_user_add,L'utilisateur du système a été ajouté avec succès
success_user_edit,L'utilisateur du système a été mis à jour avec succès
need_to_verify,Votre besoin de messagerie pour vérifier avec le code de vérification. S'il vous plaît regarder votre e-mail enregistrée.
count_detail,Comtes de détail
add_att_detail,Ajouter Détail personnalisé
detail_label,Modifier personnalisé
att_edit,Personnalisé a été ajouté avec succès
success_att_add,Personnalisé a été mis à jour avec succès
success_att_edit,Supprimer personnalisée?
delete_att_label,"Lorsque supprimer cet en-tête personnalisé, il supprimera tous les détails personnalisés aussi liés. Alors, voulez-vous toujours de le supprimer?"
att_yes_all_message,Personnalisé a été supprimé
success_att_delete,Voulez-vous supprimer tous les éléments de ces personnalisés ensemble?
att_delete_confirm_message,Recherche personnalisée
att_search,Détails de la recherche personnalisée
att_detail_search,Prix ​​sur mesure
att_price,Détail Liste personnalisée
list_attribute_detail,Liste d'attributs de détail
selected_product_name,Nom du produit sélectionné
selected_attribute_header,Nom sélectionné en-tête personnalisé
att_detail_name,Nom Détail personnalisé
attribute_detail_extra_price,"(Si votre prix supplémentaire de charge sur mesure, s'il vous plaît fournir seulement SUPPLÉMENT Il ajoutera au prix de l'alimentation comme automatically.It pas l'emporter sur le prix de l'article Il suffit d'ajouter que le prix supplémentaire Par exemple,... Price_total = Food_price + customized_additional_pirce)"
success_attdetail_edit,Détail personnalisé a été mis à jour avec succès
success_attdetail_add,Détail personnalisé a été ajouté avec succès
attdetail_edit,Mise à jour personnalisée Informations détaillées
success_attdetail_delete,Détail personnalisé a été supprimé
att_no_only_message,Seulement sur mesure - Seulement Détail sur mesure effacera du système.
delete_attdetail_label,Supprimer détail sur mesure?
err_att_name,S'il vous plaît fournir le nom personnalisé
err_att_len,La longueur du nom personnalisé doit être supérieure à 4
err_att_exist,Nom personnalisé est déjà existé dans le système
att_detail_info,Informations détaillées sur mesure
err_detail_name,S'il vous plaît fournir nom d'attribut Détail
err_detail_len,La longueur de l'attribut Détail Nom doit être supérieur à 4
err_detail_exist,Nom d'attribut de détail est déjà existé dans le système
collect_search,Chercher
collect_photo,collection de photos
collect_name,collection Nom
collect_status,Statut collection
collect_info,collecte
collect_ordering,collection ordre
collect_img,collection de photos
collect_search,Recherche Collection
collect_add,Ajouter Collection
collect_edit,Modifier la collection
success_collect_edit,Collection a été mis à jour avec succès
success_collect_add,Collection a été ajouté avec succès
success_collect_delete,Collection a été supprimé
err_collect_name,S'il vous plaît fournir le nom Collection
err_collect_len,La longueur de la collection Le nom doit être supérieure à 4
err_collect_exist,Nom de la collection est déjà existé dans le système
delete_collect_label,Supprimer la collection?
collect_delete_confirm_message,Êtes-vous sûr de vouloir supprimer cette collection?
collect_yes_all_message,Oui Tout - Collection et articles effacera du système.
collect_no_only_message,Seulement Collection - Seule Collection supprimera du système.
collect_yes_all_label,Oui tout
collect_no_only_label,Collection seulement
please_select_product,Choisissez un produit
api_info,Réglage api
api_order_by,Commandé par
api_count,api Count
success_api_edit,Réglage de l'API a été mis à jour avec succès
comm_user,Utilisateurs
comm_desc,Description Commentaire
comm_date,Date
write_reply,Ecrire une réponse de commentaire
btn_reply,Répondre
reply_cmt,commentaire Répondre
comm_search,Chercher
comment_header,commentaires
date,Date
reply,Répondre
like_product_name,Nom du produit
like_user_name,Nom d'utilisateur
fav_product_name,Nom du produit
fav_user_name,Nom d'utilisateur
trans_total_amount,Montant total
trans_discount_amount,Montant de la remise
trans_balance_amount,Montant du solde
trans_billing_address,Adresse de facturation
trans_delivery_address,Adresse de livraison
btn_update,Mise à jour
trans_search,Transactions de recherche
btn_update,Mise à jour
Prd_qty,Quantité
Prd_dis,Remise(%)
Prd_amt,Montant
Prd_dis_price,Prix ​​bas
trans_status,Transactions Statut:
success_trans_edit,Transactions Statut a été mis à jour avec succès
Prd_name,Nom du produit
Prd_price,Prix ​​du produit
popular_cat_name,Nom de la catégorie populaire
popular_cat_img,Catégorie populaires Photo
view,Vue
popular_cat_search,Rechercher Catégorie populaire
popular_cat_view,Catégorie les plus populaires
popular_cat_info,Informations Catégorie populaires
popular_cat_icon,Catégorie populaires Icône
popular_prd_name,Populaire Nom du produit
popular_prd_code,Code produit populaire
popular_prd_price,Populaire Prix produit
popular_prd_search,Recherche populaire Produit
popular_prd_view,Les plus populaires Produit
popular_prd_info,Populaire Information sur le produit
popular_subcat_name,Populaire Sous Nom de la catégorie
popular_prd_desc,Populaire Description du produit
popular_prd_keyword,Mots-clés populaires produit
popular_prd_highlight,Populaire Faits saillants du produit
purchased_cat_name,Acheté Nom de la catégorie
purchased_cat_img,Acheté Catégorie photo
purchased_cat_view,Les plus achetés Catégorie
purchased_cat_info,Acheté Information Catégorie
purchased_cat_icon,Acheté Icône de catégorie
purchased_cat_search,Rechercher Catégorie achetée
purchased_prd_name,Nom du produit acheté
purchased_prd_code,Code produit acheté
purchased_prd_price,Prix ​​de produit achetés
purchased_prd_view,La plupart Produit acheté
purchased_prd_search,Recherche produit acheté
purchased_subcat_name,Sous acheté Nom de la catégorie
purchased_prd_desc,Acheté Description du produit
purchased_prd_keyword,Mots-clés achetés ce produit
purchased_prd_info,Acheté Information produit
purchased_prd_highlight,Acheté Faits saillants du produit
total_revenue,Transactions mensuelles
performance_label,Statistiques
comment_label,Commentaire
prd_label,produits Nombre
cat_label,Catégories Nombre
subcat_label,Sous-comte
dis_label,Remise
collect_label,Collection
view_all_label,Voir tout
transaction_table,Tableau transaction
name_label,Nom
description_label,La description
phone_label,Téléphone 1 (par défaut)
contact_email_label,Email du contact
shop_cover_photo_label,Boutique Cover Photos
shop_image_recommended_size,(Taille recommandée: 600 × 400)
find_location_label,Entrez et trouver l'emplacement de l'API Google
shop_lat_label,Latitude
shop_lng_label,Longitude
success_shop_add,Shop a été ajouté avec succès
success_shop_edit,Shop a été mis à jour avec succès
delete_shop_label,Supprimer Shop?
shop_info,magasin d'information
delete_shop_confirm_message,Etes-vous sûr de vouloir supprimer la boutique car il supprimer?
phone_label2,téléphone 2
phone_label3,téléphone 3
address_label1,Adresse 1
address_label2,Adresse 2
address_label3,adresse 3
shop_icon_photo_label,Boutique Photos Icône
shop_image_recommended_size_icon,(Taille recommandée: 256 × 256)
about_mess_label,Messager
about_chart_section,chat information
stripe_label,[Option 1]: Paiement à rayures
stripe_publishable_key,publiable clé
stripe_secret_key,Clef secrète
stripe_enable_label,Est-il activé paiement Stripe?
stripe_enable_label,Est-il activé paiement Stripe?
paypal_label,[Option 2]: Paiement avec Paypal activé
paypal_env_label,Paypal Environnement
paypal_merchant_label,Paypal ID Merchant
paypal_pub_label,Paypal clé publique
paypal_pri_label,Paypal clé privée
paypal_enabled_label,Paypal est activé?
bank_transfer_label,[Option 3]: Paiement par Virement bancaire
bank_account_label,Compte bancaire
bank_name_label,Nom de banque
bank_code_label,Code bancaire
branch_code_label,code de la Direction générale
swift_code_label,Code rapide
bank_enable_label,Est activé Virement bancaire?
cod_label,[Option 4]: Paiement avec paiement à la livraison
cod_email_label,E-mail de confirmation COD
cod_enable_label,Est activé Paiement à la livraison?
currency_symbol_label,Symbole monétaire (par exemple; $)
currency_form_label,Formulaire monétaire court (par exemple; USD)
sender_email_label,Sender compte de messagerie (SMTP)
btn_add_new,Ajouter les nouveaux utilisateurs
user_name,Nom d'utilisateur
user_edit,Modifier l'utilisateur
user_info,informations de l'utilisateur
user_add,Ajouter des utilisateurs
role_label,Rôle d'utilisateur
conf_password,Confirmez le mot de passe
select_shop_label,"Si l'utilisateur est « Boutique Admin », s'il vous plaît sélectionner « Shop » pour assign"
contact_name,Nom du contact
contact_email,Email du contact
success_contacts_delete,Le contact a été supprimé
delete_contact_label,Supprimer des contacts?
contact_delete_confirm_message,Etes-vous sûr de supprimer ce Contacts?
contact_info_label,Coordonnées Détail
contact_phone,Contact Téléphone
about_contact_label,A propos de Contact Message
lbl_view,Vue
back_button,Retour
contact_receive_message,Vous avez reçu un nouveau message de contact nous.
rating_product_name,Nom du produit
rating_user_name,Nom d'utilisateur
rating_value,Note Valeur
rating_title,Titre
pending_count,Commande en cours
delivery_count,Bon de livraison
completed_count,commande terminée
order_count,total de la commande
shipping_method_label,Sélectionnez le mode de livraison par défaut
shipping_method,Par défaut Mode de livraison
shop_tags,boutique Mots-clés
overall_tax_label,Fiscale globale (de%)
shipping_tax_label,Expédition Taxes (%)
whapsapp_no_label,WhatsApp Nombre
refund_policy_label,Politique de remboursement
privacy_policy_label,Politique de confidentialité
privacypolicy,termes et conditions
app_info_lable,A propos de l'information
about_title_label,A propos de Titre
description_label,description À propos
about_email_label,A propos Email
about_phone_label,A propos du téléphone
about_website_label,À propos du site Lien
about_seo_section,Informations SEO
about_seo_title_label,Titre SEO
about_seo_desc_label,description de SEO
about_seo_keywords_label,Mots-clés SEO
about_social_section,Informations sociales
about_facebook_label,Facebook
about_gplus_label,Google+
about_instagram_label,Instagram
about_youtube_label,Youtube
about_pinterest_label,Pinterest
about_twitter_label,Twitter
about_color_section,À propos du site Thème Couleur
about_theme,Thèmes disponibles
success_about_edit,À propos est mis à jour avec succès
about_ads_analyt,Google Analytics et annonces Réglage
about_ads_client,annonces client
about_ads_slot,annonces Logement
about_analyt_track_id,Analytique Track ID
about_ads_on,Activer Google Adsense
about_analyt_on,Activer Google Analytics
about_img,A propos Photo de couverture
about_nav_icon,Icône de navigation
about_fav_icon,Icône fav
about_backend_icon,pour Backend
total_label,Total :
device_label,Dispositif
devices_label,Dispositifs
registered_label,a été enregistré pour la notification Push
noti_info,Notification push
noti_message_label,Message
noti_message_tooltips,S'il vous plaît fournir le messsage de notification push.
noti_send_btn,Envoyer une notification Push
sorry_no_device,"Désolé, il n'y a pas de périphérique enregistré pour la notification Push."
select_cat,Choisir une catégorie
success_noti_add,La notification a été ajouté avec succès
success_noti_delete,La notification a été supprimé
delete_noti_label,Supprimer la notification?
noti_yes_message,La notification oui- supprimera du système.
push_message,message Push
noti_des_label,La description
noti_img,notification photo
coupon_code_message,Code du coupon doit être d'au moins 4. Par exemple; ACE1
coupon_amount_message,"Le montant de la remise du coupon doit être comme 10, 20, 30 .. Ce n'est pas un pourcentage."
coupon_add,Ajouter coupon
coupon_info,Informations Coupon
coupon_name,Nom de coupon
coupon_code,Code du coupon
coupon_amount,Montant du coupon
coupon_edit,Modifier le coupon
coupon_search,Recherche Coupon
