key,valor
site_name,Flutter Multi Restaurant
setting_label,Ajuste
lbl_search_shop,buscar tienda
status_label,transacciones Estado
trans_detail,Detalle de transacciones
shops_unpublish_list_label,Lista inédito Shop
btn_create_new_shop,Crear nueva tienda
btn_shop_list,Lista Despublicar Shop
btn_push_notification,Notificación de inserción
btn_system_user,usuario del sistema
btn_export_database,Base de datos de exportación
btn_about_app,Acerca de Aplicación
address_label,Habla a
lbl_about_shop,sobre la tienda
lbl_categories,categorías
user_email,Email
user_password,Contraseña
sign_in,Registrarse
total_users_count_label,Total de usuarias
total_cat_count_label,Categorías totales
total_wallpaper_count_label,Fondos de pantalla totales
total_contact_label,Total de mensajes de contacto
btn_search,Buscar
back_shop_list,Volver Lista Shop
err_image_missing,subido ningún archivo
about_info,Acerca de Información
allowed_modules,Módulo permitido
shop_name,Nombre de tienda
add_more_color,Añadir más color
color_code,color del producto
product_title,Título
product_desc,Descripción
add_more_spec,Añadir más Especificación
prd_specification,Especificaciones del producto
product_name_count,Conde Nombre del producto
select_multiple_images,"Por favor, seleccione múltiples imágenes de los Alimentos."
noti_add,Añadir Notis
prd_unit,Unidad producto
prd_measurement,La medición del producto
noti_search,Buscar Noti
error_login,Sus credenciales de inicio de sesión son incorrectas. Inténtalo de nuevo.
profile_img,Imagen de perfil
cat_add,añadir categorías
wrn_no_data,No hay datos aún
cat_name,nombre de la categoría
cat_img,Categoría de fotos
cat_info,Información de la Categoría
cat_ordering,Ordenando
cat_edit,Editar categoria
success_cat_add,Categoría se ha añadido con éxito
success_cat_edit,Categoría se ha actualizado correctamente
success_upload,La imagen se ha actualizado correctamente
delete_cat_label,Eliminar categoría?
cat_yes_all_message,"Cuando eliminar esta categoría, se eliminarán todas las subcategorías relacionadas y Alimentos también. Así que, ¿todavía desea eliminarlo?"
success_cat_delete,Categoría se ha eliminado correctamente
cat_search,la búsqueda Categoría
cat_icon,Icono Categoría
btn_replace_icon,reemplazar Icono
upload_icon,Subir Icono
about_upload_icon,Subir Icono
fav_upload_icon,Fav Icon
